# Experiment IPTS-36897 Run 226643
# Reduction 2.10.0.dev6
# Run title: Sample5_OCV-226642-2.
# Run start time: 2026-03-30T03:12:23.337195667
# Reduction time: Mon May 11 17:47:39 2026
# Q summing: False
# TOF weighted: False
# Bck in Q: False
# Theta offset: 0.0
# Stitching type: None
# Meta:{"wl_min": 2.679749638902263, "wl_max": 9.59605584978334, "q_min": 0.02742831783976636, "q_max": 0.09821950007383001, "theta": 0.02094661427349929, "start_time": "2026-03-30T03:12:23.337195667", "experiment": "IPTS-36897", "run_number": "226643", "run_title": "Sample5_OCV-226642-2.", "norm_run": 226560, "time": "Mon May 11 17:47:39 2026", "dq0": 0, "dq_over_q": 0.021933285354210227, "sequence_number": 2, "sequence_id": 226642, "q_summing": false, "specular_pixel": 150.0, "use_functional_bck": false, "scaling_factors": {"a": 25.0, "err_a": 0, "b": 0, "err_b": 0}, "tof_weighted": false, "bck_in_q": false, "theta_offset": 0.0}
# DataRun   NormRun   TwoTheta(deg)  LambdaMin(A)   LambdaMax(A) Qmin(1/A)    Qmax(1/A)    SF_A         SF_B          SF
# 226643    226560    2.40031        2.67975        9.59606      0.0274       0.0982       25.0         0            1.0         
# Q [1/Angstrom]        R                     dR                    dQ [FWHM]            
  0.0364877400099440    0.0044734348322568    0.0002061794865104    0.0008002960135683
  0.0366701787099937    0.0047908128276158    0.0002237234318933    0.0008042974936362
  0.0368535296035436    0.0043435932464025    0.0002078380434786    0.0008083189811044
  0.0370377972515614    0.0042177688199774    0.0001987483042396    0.0008123605760099
  0.0372229862378192    0.0044399903089079    0.0002086994981903    0.0008164223788899
  0.0374091011690083    0.0040287533210806    0.0001915178677434    0.0008205044907844
  0.0375961466748533    0.0038348912990517    0.0001898505866822    0.0008246070132383
  0.0377841274082275    0.0037392935633645    0.0001718016754342    0.0008287300483045
  0.0379730480452687    0.0035700793487217    0.0001721364427398    0.0008328736985460
  0.0381629132854950    0.0037620682764740    0.0001752434477948    0.0008370380670387
  0.0383537278519225    0.0039958494031176    0.0001850176089297    0.0008412232573739
  0.0385454964911821    0.0035430801920372    0.0001652187445119    0.0008454293736608
  0.0387382239736380    0.0036176240742455    0.0001674000381832    0.0008496565205291
  0.0389319150935062    0.0035598192472922    0.0001657877300542    0.0008539048031318
  0.0391265746689737    0.0033583599704691    0.0001580681986676    0.0008581743271474
  0.0393222075423186    0.0035721811339793    0.0001653235360971    0.0008624651987832
  0.0395188185800302    0.0035433934078850    0.0001585067119130    0.0008667775247771
  0.0397164126729303    0.0035366514279419    0.0001541747156768    0.0008711114124010
  0.0399149947362950    0.0034588706033303    0.0001506303093188    0.0008754669694630
  0.0401145697099764    0.0035973357482546    0.0001581298054079    0.0008798443043103
  0.0403151425585263    0.0036967216310026    0.0001551097742041    0.0008842435258318
  0.0405167182713189    0.0034517764700807    0.0001487923146298    0.0008886647434610
  0.0407193018626755    0.0037366153237224    0.0001534755891176    0.0008931080671783
  0.0409228983719889    0.0036217750155041    0.0001478005357579    0.0008975736075142
  0.0411275128638489    0.0036932630476937    0.0001540665556417    0.0009020614755517
  0.0413331504281681    0.0037204279854804    0.0001504963705542    0.0009065717829295
  0.0415398161803089    0.0037494124132409    0.0001529641196698    0.0009111046418442
  0.0417475152612105    0.0039116579229529    0.0001462451264479    0.0009156601650534
  0.0419562528375165    0.0036986011351843    0.0001491739858291    0.0009202384658786
  0.0421660341017041    0.0037079787455936    0.0001427207961917    0.0009248396582080
  0.0423768642722126    0.0037340581589054    0.0001418559071446    0.0009294638564991
  0.0425887485935737    0.0037505089336495    0.0001427113414855    0.0009341111757816
  0.0428016923365415    0.0039405071469132    0.0001448066346220    0.0009387817316605
  0.0430157007982242    0.0038700396064845    0.0001418970266373    0.0009434756403188
  0.0432307793022154    0.0037745935283005    0.0001432725109156    0.0009481930185204
  0.0434469331987264    0.0038651019403601    0.0001413542734555    0.0009529339836130
  0.0436641678647200    0.0040606747162185    0.0001423933615724    0.0009576986535310
  0.0438824887040437    0.0036884621651751    0.0001351158103061    0.0009624871467987
  0.0441019011475639    0.0036985239276646    0.0001326297027951    0.0009672995825327
  0.0443224106533017    0.0036513193928273    0.0001267451286177    0.0009721360804454
  0.0445440227065682    0.0034848919534283    0.0001218420036094    0.0009769967608476
  0.0447667428201010    0.0035756997578867    0.0001260520331800    0.0009818817446518
  0.0449905765342015    0.0035162263212682    0.0001223640614486    0.0009867911533751
  0.0452155294168725    0.0037305975508291    0.0001286226745338    0.0009917251091420
  0.0454416070639569    0.0036304174857202    0.0001245525066006    0.0009966837346877
  0.0456688150992767    0.0036833454428383    0.0001258580348225    0.0010016671533611
  0.0458971591747730    0.0031947024538291    0.0001127267588981    0.0010066754891279
  0.0461266449706469    0.0032694882110545    0.0001165486039693    0.0010117088665735
  0.0463572781955001    0.0031052731614314    0.0001079317961097    0.0010167674109064
  0.0465890645864776    0.0032269510927845    0.0001092428391937    0.0010218512479609
  0.0468220099094100    0.0030416867776246    0.0001050189962124    0.0010269605042007
  0.0470561199589570    0.0029795453993701    0.0001047270688956    0.0010320953067218
  0.0472914005587518    0.0027768148669352    0.0000971618477023    0.0010372557832554
  0.0475278575615456    0.0027381695380169    0.0000957183936669    0.0010424420621716
  0.0477654968493533    0.0027123516809660    0.0000972132165301    0.0010476542724825
  0.0480043243336001    0.0025358559622914    0.0000923547655083    0.0010528925438449
  0.0482443459552681    0.0025804571821406    0.0000919978869883    0.0010581570065641
  0.0484855676850444    0.0024094722266791    0.0000863001346095    0.0010634477915970
  0.0487279955234696    0.0022545116673457    0.0000843625019841    0.0010687650305549
  0.0489716355010870    0.0021815096044980    0.0000835353777917    0.0010741088557077
  0.0492164936785924    0.0022444907706345    0.0000862151123236    0.0010794793999863
  0.0494625761469853    0.0020470657240014    0.0000886248922483    0.0010848767969862
  0.0497098890277203    0.0019030681855364    0.0000792862175382    0.0010903011809711
  0.0499584384728589    0.0019977758970271    0.0000719399595762    0.0010957526868760
  0.0502082306652232    0.0017957736699003    0.0000746973054470    0.0011012314503103
  0.0504592718185493    0.0018631252521083    0.0000720172771994    0.0011067376075619
  0.0507115681776420    0.0015380522203024    0.0000646717757480    0.0011122712955997
  0.0509651260185302    0.0016987987991458    0.0000690026060262    0.0011178326520777
  0.0512199516486228    0.0015332442582644    0.0000657586248921    0.0011234218153381
